=== PIPELINE DEPTH: 1 ===
2         Threads
20        Connections per thread
20000     Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        48354.97          ---          ---        31.67222         0.68700         1.79100         7.00700      3730.24 
Gets         5372.77         8.06      5364.72        15.78680         0.67900         1.77500         7.13500       204.59 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      53727.75         8.06      5364.72        30.08368         0.68700         1.79100         7.03900      3934.83 


Request Latency Distribution
Type     <= msec         Percent
SET      25.599       99.995
SET      25.599       99.995
SET      25.599       99.996
SET      25.599       99.996
SET      25.599       99.996
SET      25.599       99.997
SET      25.599       99.997
SET      25.599       99.997
SET      25.599       99.997
SET      25.599       99.997
SET      25.599       99.998
SET      25.599       99.998
SET      25.599       99.998
SET      25.599       99.998
SET      25.599       99.998
SET      25.599       99.998
SET      25.599       99.998
SET      25.599       99.999
SET      25.599       99.999
SET      25.599       99.999
SET      25.983       99.999
SET      25.983      100.000
---
GET       0.135        0.000
GET       1.471        5.000
GET       1.711       10.000
GET       1.863       15.000
GET       1.975       20.000
GET       2.079       25.000
GET       2.175       30.000
GET       2.255       35.000
GET       2.351       40.000
GET       2.447       45.000
GET       2.527       50.000
GET       2.591       52.500
GET       2.655       55.000
GET       2.719       57.500
GET       2.799       60.000
GET       2.863       62.500
GET       2.959       65.000
GET       3.055       67.500
GET       3.167       70.000
GET       3.263       72.500
GET       3.375       75.000
GET       3.439       76.250
GET       3.519       77.500
GET       3.599       78.750
GET       3.695       80.000
GET       3.791       81.250
GET       3.935       82.500
GET       4.079       83.750
GET       4.255       85.000
GET       4.447       86.250
GET       4.671       87.500
GET       4.799       88.125
GET       4.927       88.750
GET       5.087       89.375
GET       5.247       90.000
GET       5.407       90.625
GET       5.599       91.250
GET       5.791       91.875
GET       6.015       92.500
GET       6.271       93.125
GET       6.559       93.750
GET       6.687       94.062
GET       6.879       94.375
GET       7.039       94.688
GET       7.231       95.000
GET       7.423       95.312
GET       7.679       95.625
GET       7.903       95.938
GET       8.255       96.250
GET       8.639       96.562
GET       8.959       96.875
GET       9.215       97.031
GET       9.471       97.188
GET       9.663       97.344
GET       9.919       97.500
GET      10.175       97.656
GET      10.495       97.812
GET      11.071       97.969
GET      11.391       98.125
GET      11.839       98.281
GET      12.223       98.438
GET      12.479       98.516
GET      12.671       98.594
GET      13.055       98.672
GET      13.183       98.750
GET      13.567       98.828
GET      13.823       98.906
GET      14.015       98.984
GET      14.271       99.062
GET      14.591       99.141
GET      14.911       99.219
GET      14.975       99.258
GET      15.039       99.297
GET      15.167       99.336
GET      15.359       99.375
GET      15.487       99.414
GET      15.615       99.453
GET      15.679       99.492
GET      15.935       99.531
GET      16.191       99.570
GET      16.319       99.609
GET      16.511       99.629
GET      16.511       99.648
GET      16.767       99.668
GET      16.895       99.688
GET      17.023       99.707
GET      17.535       99.727
GET      17.663       99.746
GET      17.919       99.766
GET      17.919       99.785
GET      18.047       99.805
GET      18.175       99.814
GET      18.303       99.824
GET      18.431       99.834
GET      18.687       99.844
GET      18.815       99.854
GET      18.943       99.863
GET      19.199       99.873
GET      19.327       99.883
GET      19.455       99.893
GET      19.583       99.902
GET      19.711       99.907
GET      19.839       99.912
GET      19.967       99.917
GET      20.095       99.922
GET      20.095       99.927
GET      20.095       99.932
GET      20.095       99.937
GET      20.607       99.941
GET      20.735       99.946
GET      20.735       99.951
GET      20.735       99.954
GET      20.735       99.956
GET      20.735       99.958
GET      20.863       99.961
GET      20.863       99.963
GET      20.863       99.966
GET      20.991       99.968
GET      20.991       99.971
GET      20.991       99.973
GET      21.375       99.976
GET      21.375       99.977
GET      21.375       99.978
GET      21.375       99.979
GET      21.375       99.980
GET      21.375       99.982
GET      21.503       99.983
GET      21.759       99.984
GET      22.271       99.985
GET      22.399       99.987
GET      22.399       99.988
GET      22.399       99.988
GET      22.783       99.989
GET      22.783       99.990
GET      22.783       99.990
GET      22.783       99.991
GET      23.551       99.991
GET      23.551       99.992
GET      23.551       99.993
GET      23.551       99.993
GET      25.087       99.994
GET      25.087       99.994
GET      25.087       99.995
GET      25.087       99.995
GET      25.599       99.995
GET      25.599      100.000
---
WAIT      0.000      100.000




