=== PIPELINE DEPTH: 1 ===
2         Threads
20        Connections per thread
20000     Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        68832.35          ---          ---         0.52234         0.41500         1.95100         6.97500      5309.92 
Gets         7648.04        11.47      7636.57         0.51893         0.41500         1.87100         6.75100       299.08 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      76480.39        11.47      7636.57         0.52200         0.41500         1.93500         6.97500      5609.01 


Request Latency Distribution
Type     <= msec         Percent
SET      14.847       99.996
SET      14.847       99.996
SET      14.911       99.996
SET      14.911       99.997
SET      14.911       99.997
SET      14.911       99.997
SET      14.911       99.997
SET      14.911       99.997
SET      14.911       99.998
SET      14.911       99.998
SET      14.911       99.998
SET      14.911       99.998
SET      14.911       99.998
SET      14.911       99.998
SET      14.911       99.998
SET      14.911       99.999
SET      14.911       99.999
SET      14.911       99.999
SET      14.975       99.999
SET      14.975      100.000
---
GET       0.055        0.000
GET       0.519        5.000
GET       0.551       10.000
GET       0.583       15.000
GET       0.607       20.000
GET       0.639       25.000
GET       0.671       30.000
GET       0.703       35.000
GET       0.735       40.000
GET       0.775       45.000
GET       0.815       50.000
GET       0.831       52.500
GET       0.855       55.000
GET       0.879       57.500
GET       0.903       60.000
GET       0.935       62.500
GET       0.967       65.000
GET       1.007       67.500
GET       1.055       70.000
GET       1.111       72.500
GET       1.167       75.000
GET       1.191       76.250
GET       1.223       77.500
GET       1.263       78.750
GET       1.295       80.000
GET       1.343       81.250
GET       1.391       82.500
GET       1.431       83.750
GET       1.487       85.000
GET       1.543       86.250
GET       1.607       87.500
GET       1.639       88.125
GET       1.671       88.750
GET       1.711       89.375
GET       1.751       90.000
GET       1.791       90.625
GET       1.831       91.250
GET       1.879       91.875
GET       1.935       92.500
GET       1.991       93.125
GET       2.063       93.750
GET       2.111       94.062
GET       2.143       94.375
GET       2.207       94.688
GET       2.271       95.000
GET       2.335       95.312
GET       2.399       95.625
GET       2.479       95.938
GET       2.559       96.250
GET       2.655       96.562
GET       2.783       96.875
GET       2.831       97.031
GET       2.895       97.188
GET       2.959       97.344
GET       3.023       97.500
GET       3.119       97.656
GET       3.215       97.812
GET       3.295       97.969
GET       3.391       98.125
GET       3.487       98.281
GET       3.583       98.438
GET       3.631       98.516
GET       3.711       98.594
GET       3.775       98.672
GET       3.855       98.750
GET       3.935       98.828
GET       3.983       98.906
GET       4.079       98.984
GET       4.191       99.062
GET       4.319       99.141
GET       4.447       99.219
GET       4.479       99.258
GET       4.543       99.297
GET       4.607       99.336
GET       4.671       99.375
GET       4.735       99.414
GET       4.799       99.453
GET       4.863       99.492
GET       4.959       99.531
GET       5.023       99.570
GET       5.055       99.609
GET       5.119       99.629
GET       5.151       99.648
GET       5.279       99.668
GET       5.343       99.688
GET       5.471       99.707
GET       5.567       99.727
GET       5.695       99.746
GET       5.823       99.766
GET       6.015       99.785
GET       6.239       99.805
GET       6.367       99.814
GET       6.495       99.824
GET       6.559       99.834
GET       6.623       99.844
GET       6.783       99.854
GET       6.847       99.863
GET       6.879       99.873
GET       7.071       99.883
GET       7.295       99.893
GET       7.423       99.902
GET       7.519       99.907
GET       7.583       99.912
GET       7.679       99.917
GET       7.775       99.922
GET       7.839       99.927
GET       7.935       99.932
GET       8.159       99.937
GET       8.767       99.941
GET       8.959       99.946
GET       9.343       99.951
GET       9.471       99.954
GET       9.599       99.956
GET      10.751       99.958
GET      10.879       99.961
GET      12.287       99.963
GET      12.479       99.966
GET      12.607       99.968
GET      12.735       99.971
GET      12.927       99.973
GET      14.399       99.976
GET      14.399       99.977
GET      14.463       99.978
GET      14.463       99.979
GET      14.527       99.980
GET      14.527       99.982
GET      14.527       99.983
GET      14.527       99.984
GET      14.591       99.985
GET      14.591       99.987
GET      14.655       99.988
GET      14.655       99.988
GET      14.719       99.989
GET      14.719       99.990
GET      14.719       99.990
GET      14.719       99.991
GET      14.783       99.991
GET      14.783       99.992
GET      14.847       99.993
GET      14.847       99.993
GET      14.847       99.994
GET      14.847       99.994
GET      14.847       99.995
GET      14.847       99.995
GET      14.847       99.995
GET      14.847       99.995
GET      14.847       99.996
GET      14.847       99.996
GET      14.911       99.996
GET      14.911       99.997
GET      14.911       99.997
GET      14.911       99.997
GET      14.911       99.997
GET      14.911       99.997
GET      14.911       99.998
GET      14.911       99.998
GET      14.911       99.998
GET      14.911       99.998
GET      14.911       99.998
GET      14.911       99.998
GET      14.911       99.998
GET      14.911       99.999
GET      14.911       99.999
GET      14.911       99.999
GET      14.975       99.999
GET      14.975      100.000
---
WAIT      0.000      100.000




=== PIPELINE DEPTH: 50 ===
2         Threads
20        Connections per thread
